Country,Region,Year,Month,Chamber Type,Chamber Total Seats,Total women,% Of Women in Chamber,NOTES,election_type
Algeria,MENA,2009,,Upper,136,7,0.051470588235294115,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.,Election
Algeria,MENA,2012,,Lower,462,146,0.31601731601731603,"The Green Algeria Coalition comprised the Movement of Society for Peace (MSP, which had left the tripartite presidential alliance in January 2012; the Islamic Renaissance Movement (Ennahda) and the National Reform Movement. Eight seats are reserved for Algerians residing abroad.",Election
Algeria,MENA,2012,,Upper,142,10,0.07042253521126761,Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office.,Election
Algeria,MENA,2015,,Upper,144,10,0.06944444444444445,,Election
Algeria,MENA,2017,May,Lower,462,119,0.25757575757575757,,Election
Algeria,MENA,2018,December,Upper,132,9,0.06818181818181818,1 woman indirectly elected,Election
Andorra,EUR,1993,,Single,28,1,0.03571428571428571,"First Parliament of Andorra, which became an independent sovereign State on 4 May 1993.",Election
Andorra,EUR,2001,,Single,28,2,0.07142857142857142,,Election
Andorra,EUR,2001,,Single,28,4,0.14285714285714285,,Election
Andorra,EUR,2005,,Single,28,9,0.32142857142857145,,Election
Andorra,EUR,2009,,Single,28,9,0.32142857142857145,,Election
Andorra,EUR,2009,June,Single,28,10,0.35714285714285715,,Election
Andorra,EUR,2011,april- april,Single,28,15,0.5357142857142857,Elections were held for all the seats in the General Council following the early dissolution of this body on 15 February 2011. Elections to the House of Representatives had previously taken place in April 2009.,Election
Andorra,EUR,2011,april-december,Single,28,14,0.5,,Election
Andorra,EUR,2015,,Single,28,11,0.39285714285714285,,Election
Angola,SUB-SAHARAN,1980,,Single,229,19,0.08296943231441048,First legislature of Angola after the country became independent on 11 November 1975.,Election
Angola,SUB-SAHARAN,1986,,Single,289,42,0.1453287197231834,"Plus 29 substitute members, 7 of whom were women",Election
Angola,SUB-SAHARAN,1992,,Single,220,21,0.09545454545454546,,Election
Angola,SUB-SAHARAN,2008,,Single,220,82,0.37272727272727274,,Election
Angola,SUB-SAHARAN,2012,september,Single,220,75,0.3409090909090909,,Election
Angola,SUB-SAHARAN,2017,August,Single,220,68,0.3090909090909091,,Election
Antigua and Barbuda,AME,1984,,Lower,17,0,0,First legislature of Antigua and Barbuda after the country became independent on 1 November 1981; All members of the House of Representatives were appointed,Election
Antigua and Barbuda,AME,1984,,Upper,17,2,0.11764705882352941,First legislature of Antigua and Barbuda after the country became independent on 1 November 1981; ,Election
Antigua and Barbuda,AME,1989,,Lower,17,0,0,All members of the House of Representatives were appointed.,Election
Antigua and Barbuda,AME,1989,,Upper,17,1,0.058823529411764705,,Election
Antigua and Barbuda,AME,1992,,Upper,17,2,0.11764705882352941,,Election
Antigua and Barbuda,AME,1994,,Lower,19,1,0.05263157894736842,"First time members were elected. However, the first female member of the House of Representatives was co-opted on appointment by the Government.",Election
Antigua and Barbuda,AME,1994,,Upper,17,3,0.17647058823529413,,Election
Antigua and Barbuda,AME,1999,,Lower,19,1,0.05263157894736842,,Election
Antigua and Barbuda,AME,1999,,Upper,17,2,0.11764705882352941,,Election
Antigua and Barbuda,AME,2004,,Lower,19,2,0.10526315789473684,,Election
Antigua and Barbuda,AME,2004,,Upper,17,3,0.17647058823529413,,Election
Antigua and Barbuda,AME,2009,,Lower,19,2,0.10526315789473684,Elections were held for all elective seats in the House of Representatives on the normal expiry of the members' term of office.,Election
Antigua and Barbuda,AME,2009,,Upper,17,5,0.29411764705882354,,Election
Antigua and Barbuda,AME,2014,,Lower,18,2,0.1111111111111111,,Election
Antigua and Barbuda,AME,2014,,Upper,15,5,0.3333333333333333,,Election
Antigua and Barbuda,AME,2018,March,Lower,18,2,0.1111111111111111,,Election
Antigua and Barbuda,AME,2018,March,Upper,17,9,0.5294117647058824,,Election
Argentina,AME,1946,,Lower,158,0,0,,Election
Argentina,AME,1946,,Upper,34,0,0,,Election
Argentina,AME,1948,,Lower,158,0,0,"Election for only half the members of the House, modifying its composition.",Election
Argentina,AME,1951,,Lower,155,24,0.15483870967741936,,Election
Argentina,AME,1951,,Upper,30,6,0.2,"The nominal number of seats is 34, but there were 4 vacancies at the time.",Election
Argentina,AME,1955,,Lower,157,34,0.21656050955414013,Congress was dissolved following a military coup d'Etat on 16 September 1955.,Election
Argentina,AME,1955,,Upper,30,6,0.2,Congress was dissolved following a military coup d'Etat on 16 September 1955.,Election
Argentina,AME,1958,,Lower,184,4,0.021739130434782608,"102 members of house elected. The nominal number of seats is 187, but there were 3 vacancies.",Election
Argentina,AME,1958,,Upper,42,0,0,"Election of 102 of the 192 members of the House, modifying its composition. The nominal number of seats is 46, but there were 4 vacancies at the time. Congress was dissolved some six months after the military coup d'Etat of March 1962.",Election
Argentina,AME,1960,,Lower,190,2,0.010526315789473684,"Election of 102 of the 192 members of the House, modifying its composition.  Congress was dissolved some six months after the military coup d'Etat of March 1962.",Election
Argentina,AME,1963,,Lower,192,1,0.005208333333333333,"The nominal number of seats is 194, but there were 2 vacancies at the time.",Election
Argentina,AME,1963,,Upper,46,0,0,Congress was dissolved following a military coup d'Etat on 28 June 1966.,Election
Argentina,AME,1965,,Lower,192,4,0.020833333333333332,"Election for only half of the members of the House, modifying its composition. The nominal number of seats is 194, but there were 2 vacancies at the time. Congress was dissolved following a military coup d'Etat on 28 June 1966. ",Election
Argentina,AME,1973,,Lower,243,19,0.07818930041152264,Congress was dissolved following a military coup d'Etat on 24 March 1976.,Election
Argentina,AME,1973,,Upper,69,3,0.043478260869565216,Congress was dissolved following a military coup d'Etat on 24 March 1976.,Election
Argentina,AME,1983,,Lower,254,10,0.03937007874015748,,Election
Argentina,AME,1983,,Upper,46,3,0.06521739130434782,,Election
Argentina,AME,1985,,Lower,254,10,0.03937007874015748,,Election
Argentina,AME,1986,,Upper,46,3,0.06521739130434782,,Election
Argentina,AME,1987,,Lower,254,12,0.047244094488188976,,Election
Argentina,AME,1989,,Lower,254,16,0.06299212598425197,,Election
Argentina,AME,1989,,Upper,46,4,0.08695652173913043,,Election
Argentina,AME,1991,,Lower,257,15,0.058365758754863814,,Election
Argentina,AME,1992,,Lower,257,37,0.14396887159533073,,Election
Argentina,AME,1993,,Upper,46,4,0.08695652173913043,"A Constituent Assembly was set up on 10 April 1994, comprising 305 members, including 81 women: 26.5%.",Election
Argentina,AME,1995,,Lower,257,65,0.2529182879377432,Election for 127 members of the House.,Election
Argentina,AME,1995,,Upper,72,2,0.027777777777777776,Partial renewal of one third of the seats in the Senate.,Election
Argentina,AME,1997,December,Lower,257,71,0.27626459143968873,,Election
Argentina,AME,1999,,Lower,257,68,0.26459143968871596,Election for 127 members of the House.,Election
Argentina,AME,1999,,Upper,72,2,0.027777777777777776,Partial renewal of one third of the seats in the Senate.,Election
Argentina,AME,2001,,Lower,257,79,0.30739299610894943,Election for 127 members of the House.,Election
Argentina,AME,2001,,Upper,72,24,0.3333333333333333,,Election
Argentina,AME,2005,,Lower,257,93,0.36186770428015563,Election for 127 members of the House. 47 women were elected.,Election
Argentina,AME,2005,,Upper,72,30,0.4166666666666667,"Senate: 24 seats up for election,",Election
Argentina,AME,2007,,Lower,255,102,0.4,Election for 130 members of the House.,Election
Argentina,AME,2007,May,Upper,72,28,0.3888888888888889,,Election
Argentina,AME,2009,June-- August,Lower,257,107,0.4163424124513619,Election for 127 members of the House. 47 women were elected.,Election
Argentina,AME,2009,June - December,Lower,257,99,0.3852140077821012,,Election
Argentina,AME,2009,June- august,Upper,72,27,0.375,,Election
Argentina,AME,2009,June- December,Upper,71,25,0.352112676056338,,Election
Argentina,AME,2011,,Lower,257,96,0.3735408560311284,Elections were held to renew one-half of the seats (130) in the Chamber of Deputies on the normal expiry of the members' term of office. At stake in the 2011 elections were 130 of the 257 seats in the Chamber of Deputies and 24 of the 72 seats in the Senate. Parliamentary elections were held in parallel with presidential polls. ,Election
Argentina,AME,2011,,Upper,72,28,0.3888888888888889,,Election
Argentina,AME,2013,january,Lower,257,96,0.3735408560311284,one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal,Election
Argentina,AME,2013,january,Upper,72,28,0.3888888888888889,one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal,Election
Argentina,AME,2015,,Lower,257,92,0.35797665369649806,one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal,Election
Argentina,AME,2015,,Upper,72,30,0.4166666666666667,one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal,Election
Argentina,AME,2017,,Lower,257,98,0.38132295719844356,,Election
Argentina,AME,2017,,Upper,72,30,0.4166666666666667,,Election
Armenia,ASIA,1990,,Single,244,9,0.036885245901639344,"The Soviet Supreme of the SSR of Armenia became, under the name of Supreme Council (Khordrdaran) the first legislature of Armenia after the country became independent on 21 September 1991. Armenian women were previously elected to the Soviet Supreme of the SSR of Armenia (see below) and to the Parliament of the USSR.",Election
Armenia,ASIA,1995,,Single,190,12,0.06315789473684211,,Election
Armenia,ASIA,1999,,Single,131,4,0.030534351145038167,,Election
Armenia,ASIA,2003,,Single,131,6,0.04580152671755725,,Election
Armenia,ASIA,2007,May- June,Single,130,12,0.09230769230769231,,Election
Armenia,ASIA,2007,May- September,Single,131,12,0.0916030534351145,,Election
Armenia,ASIA,2012,,Single,131,14,0.10687022900763359,,Election
Armenia,EUR,2017,april,Single,105,18,0.17142857142857143,,Election
Armenia,EUR,2018,December,Single,132,32,0.24242424242424243,,Election
Australia,PAC,1946,,Lower,75,2,0.02666666666666667,,Election
Australia,PAC,1946,,Upper,36,2,0.05555555555555555,,Election
Australia,PAC,1949,,Lower,123,1,0.008130081300813009,,Election
Australia,PAC,1949,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1951,,Lower,123,0,0,,Election
Australia,PAC,1951,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1953,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1954,,Lower,123,0,0,,Election
Australia,PAC,1955,,Lower,124,0,0,,Election
Australia,PAC,1955,,Upper,60,5,0.08333333333333333,,Election
Australia,PAC,1958,,Lower,124,0,0,,Election
Australia,PAC,1958,,Upper,60,5,0.08333333333333333,,Election
Australia,PAC,1961,,Lower,124,0,0,,Election
Australia,PAC,1961,,Upper,60,5,0.08333333333333333,,Election
Australia,PAC,1963,,Lower,124,0,0,,Election
Australia,PAC,1964,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1966,,Lower,124,1,0.008064516129032258,,Election
Australia,PAC,1966,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1967,,Upper,60,3,0.05,,Election
Australia,PAC,1969,,Lower,125,0,0,,Election
Australia,PAC,1970,,Upper,60,2,0.03333333333333333,,Election
Australia,PAC,1972,,Lower,125,0,0,,Election
Australia,PAC,1974,,Lower,127,1,0.007874015748031496,,Election
Australia,PAC,1974,,Upper,60,4,0.06666666666666667,,Election
Australia,PAC,1975,,Lower,127,0,0,,Election
Australia,PAC,1975,,Upper,64,6,0.09375,,Election
Australia,PAC,1977,,Lower,124,0,0,,Election
Australia,PAC,1977,,Upper,64,6,0.09375,,Election
Australia,PAC,1980,,Lower,125,3,0.024,,Election
Australia,PAC,1980,,Upper,64,9,0.140625,,Election
Australia,PAC,1983,,Lower,125,6,0.048,,Election
Australia,PAC,1983,,Upper,64,13,0.203125,,Election
Australia,PAC,1984,,Lower,148,8,0.05405405405405406,,Election
Australia,PAC,1984,,Upper,76,14,0.18421052631578946,,Election
Australia,PAC,1987,,Lower,148,9,0.060810810810810814,,Election
Australia,PAC,1987,,Upper,76,17,0.2236842105263158,,Election
Australia,PAC,1990,,Lower,148,10,0.06756756756756757,,Election
Australia,PAC,1990,,Upper,76,18,0.23684210526315788,,Election
Australia,PAC,1993,,Lower,147,13,0.08843537414965986,,Election
Australia,PAC,1993,,Upper,76,16,0.21052631578947367,,Election
Australia,PAC,1996,,Lower,148,23,0.1554054054054054,,Election
Australia,PAC,1996,,Upper,76,23,0.3026315789473684,,Election
Australia,PAC,1997,,Upper,76,23,0.3026315789473684,,Election
Australia,PAC,1998,,Lower,148,32,0.21621621621621623,,Election
Australia,PAC,1998,,Upper,76,22,0.2894736842105263,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years.",Election
Australia,PAC,2001,,Lower,150,38,0.25333333333333335,,Election
Australia,PAC,2001,,Upper,76,23,0.3026315789473684,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years.",Election
Australia,PAC,2004,,Lower,150,37,0.24666666666666667,,Election
Australia,PAC,2004,,Upper,76,27,0.35526315789473684,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years. 14 women elected out of the 40 renewed seats.",Election
Australia,PAC,2007,November,Lower,150,40,0.26666666666666666,,Election
Australia,PAC,2007,,Upper,76,27,0.35526315789473684,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years.",Election
Australia,PAC,2010,,Lower,150,37,0.24666666666666667,,Election
Australia,PAC,2010,,Upper,76,29,0.3815789473684211,"Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years.",Election
Australia,PAC,2013,january,Lower,150,37,0.24666666666666667,,Election
Australia,PAC,2013,,Upper,75,31,0.41333333333333333,,Election
Australia,PAC,2013,january,Upper,76,29,0.3815789473684211,,Election
Australia ,PAC,2016,,Lower,150,40,0.26666666666666666,,Election
Australia ,PAC,2016,july,Lower,150,43,0.2866666666666667,,Election
Australia ,PAC,2016,,Upper,76,28,0.3684210526315789,"One half of the senators are renewed every three years, except for the four senators representing the federal territories (territory senators), who are elected for a maximum of three years.",Election
Austria,EUR,1945,,Lower,165,9,0.05454545454545454,,Election
Austria,EUR,1949,,Lower,165,8,0.048484848484848485,,Election
Austria,EUR,1953,,Lower,165,9,0.05454545454545454,,Election
Austria,EUR,1956,,Lower,165,8,0.048484848484848485,,Election
Austria,EUR,1959,,Lower,165,9,0.05454545454545454,,Election
Austria,EUR,1962,,Lower,165,9,0.05454545454545454,,Election
Austria,EUR,1966,,Lower,165,9,0.05454545454545454,,Election
Austria,EUR,1970,,Lower,165,8,0.048484848484848485,,Election
Austria,EUR,1971,,Lower,183,11,0.060109289617486336,,Election
Austria,EUR,1975,,Lower,183,14,0.07650273224043716,,Election
Austria,EUR,1979,,Lower,183,18,0.09836065573770492,,Election
Austria,EUR,1983,,Lower,183,17,0.09289617486338798,,Election
Austria,EUR,1986,,Lower,183,21,0.11475409836065574,,Election
Austria,EUR,1990,,Lower,183,36,0.19672131147540983,,Election
Austria,EUR,1994,,Lower,183,40,0.2185792349726776,,Election
Austria,EUR,1995,,Lower,183,49,0.2677595628415301,,Election
Austria,EUR,1999,,Lower,183,49,0.2677595628415301,,Election
Austria,EUR,2002,,Lower,183,62,0.33879781420765026,,Election
Austria,EUR,2006,,Lower,183,59,0.3224043715846995,,Election
Austria,EUR,2008,,Lower,183,50,0.273224043715847,Elections were held for all the seats in the National Council following premature dissolution of this body on 9 July 2008. Elections to the National Council had previously taken place on 1 October 2006.,Election
Austria,EUR,2013,january,Lower,183,51,0.2786885245901639,,Election
Austria,EUR,2013,October,Lower,183,61,0.3333333333333333,,Election
Austria,EUR,2017,October,Lower,183,63,0.3442622950819672,,Election
Austria,EUR,1945,,Upper,49,0,0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1946,,Upper,49,0,0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1947,,Upper,49,0,0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1948,,Upper,49,0,0,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1949,,Upper,48,1,0.020833333333333332,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1950,,Upper,48,1,0.020833333333333332,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1951,,Upper,48,1,0.020833333333333332,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1952,,Upper,48,1,0.020833333333333332,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1953,,Upper,45,1,0.022222222222222223,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1954,,Upper,45,1,0.022222222222222223,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1955,,Upper,45,1,0.022222222222222223,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1956,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1957,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1958,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1959,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1960,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1961,,Upper,48,6,0.125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1962,,Upper,51,7,0.13725490196078433,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1963,,Upper,51,7,0.13725490196078433,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1964,,Upper,51,7,0.13725490196078433,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1965,,Upper,51,7,0.13725490196078433,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1966,,Upper,51,6,0.11764705882352941,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1967,,Upper,51,6,0.11764705882352941,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1968,,Upper,51,6,0.11764705882352941,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1969,,Upper,51,6,0.11764705882352941,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1970,,Upper,54,9,0.16666666666666666,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1971,,Upper,51,9,0.17647058823529413,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1972,,Upper,51,9,0.17647058823529413,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1973,,Upper,51,9,0.17647058823529413,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1974,,Upper,51,9,0.17647058823529413,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1975,,Upper,55,11,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1976,,Upper,55,11,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1977,,Upper,55,11,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1978,,Upper,55,11,0.2,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1979,,Upper,55,9,0.16363636363636364,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1980,,Upper,55,9,0.16363636363636364,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1981,,Upper,55,9,0.16363636363636364,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1982,,Upper,55,9,0.16363636363636364,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1983,,Upper,61,10,0.16393442622950818,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1984,,Upper,61,10,0.16393442622950818,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1985,,Upper,61,10,0.16393442622950818,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1986,,Upper,62,13,0.20967741935483872,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1987,,Upper,62,13,0.20967741935483872,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1988,,Upper,62,13,0.20967741935483872,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1989,,Upper,62,13,0.20967741935483872,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1990,,Upper,60,13,0.21666666666666667,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1991,,Upper,60,13,0.21666666666666667,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1992,,Upper,60,13,0.21666666666666667,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1993,,Upper,60,13,0.21666666666666667,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1994,,Upper,63,14,0.2222222222222222,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1995,,Upper,63,14,0.2222222222222222,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1996,,Upper,62,13,0.20967741935483872,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
Austria,EUR,1997,,Upper,64,13,0.203125,Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections,Renewal
